,_id,created_date,legislator_id,legislator_name,party,state,text,user_id,Label
7538,871853409258885121,2017-06-05 22:17:05,M001176,Jeff Merkley,D,OR,We must be bolder&amp;better in protecting our beautiful blue green planet from climate disruption. Attn: @realDonaldTrump. #WorldEnvironmentDay https://t.co/vNX8aJH3A4,29201047,-1.0
8085,880173462215684096,2017-06-28 21:18:00,P000610,Stacey Plaskett,D,VI,RT @chrislhayes: .@realDonaldTrump could show the Fake News Media how wrong they are by having a press conference devoted to the healthcare…,2724095695,-1.0
13863,958528824848809984,2018-01-31 02:34:15,P000607,Mark Pocan,D,WI,"It's absurd that @realDonaldTrump mentioned multiple shootings at the top of his address, but is now bragging about supporting the 2nd Amendment. #DoSomething #EndGunViolence #SOTU",1206227149,-2.0
8912,892851279139135490,2017-08-02 20:55:07,P000197,Nancy Pelosi,D,CA,America isn’t weakened by immigrants – they make it stronger. It’s about time @realDonaldTrump learned that. https://t.co/doQaklxZPF,15764644,-2.0
15439,826155469697908736,2017-01-30 19:49:47,B001292,Donald Beyer,D,VA,"RT @jaketapper: Bush CIA director @GenMhayden says @POTUS Trump refu­gee order “inarguably has made us less safe."" https://t.co/tTPIgQBuRN",2962868158,-1.0
28314,940639341898018816,2017-12-12 17:47:49,P000606,Robert Pittenger,R,NC,.@POTUS just signed the #NDAA giving our servicemen and women their biggest pay raise in 8 years &amp; also providing our military with the resources they need to keep American safe!,950328072,2.0
15238,825056747773632512,2017-01-27 19:03:52,P000604,Donald M. Payne,D,NJ,Unfit @POTUS doesn't want you to know that you can still sign up for #ACA before Jan. 31 → https://t.co/UsZGmh8I7L #CoverageMatters,1155335864,-2.0
29705,958526241488941056,2018-01-31 02:23:59,M001157,Michael T. McCaul,R,TX,"""We repealed the core of disastrous Obamacare -- the individual mandate is now gone."" - @POTUS #SOTU",26424123,0.0
2608,824312304057585668,2017-01-25 17:45:42,S001193,Eric Swalwell,D,CA,Holy smokes. This pre-election @FT story on @realDonaldTrump's financial ties to Russia was pretty prescient. https://t.co/ChrwI1YqHi,942156122,-1.0
25584,905859338430017536,2017-09-07 18:24:30,C000984,Elijah E. Cummings,D,MD,RT @OversightDems: BREAKING: Top Dems Seek Immediate Hearings on #POTUS #Trump Decision to End #DACA https://t.co/zuzeMK7NMW,787373558,0.0
18301,841387938218987522,2017-03-13 20:38:11,C001070,Robert P. Casey,D,PA,"Instead of keeping what’s working in health care and fixing what’s not, @POTUS is going along with far right Republicans in Washington.",171598736,-1.0
29542,958430807680577538,2018-01-30 20:04:45,W000813,Jackie Walorski,R,IN,"Encouraged by reports @POTUS will officially reverse the Obama administration’s dangerous plans to close #Gitmo. It's a critical tool in the fight against terrorism, and keeping it open makes our country safer. https://t.co/mV4TlxnQ8r",1065995022,1.0
4655,841374561551695872,2017-03-13 19:45:02,H001042,Mazie K. Hirono,D,HI,"It's undeniable that under @realDonaldTrump &amp; his cronies, hate crimes &amp; bigotry are on the rise. We must unite against these attacks.",92186819,-2.0
27701,929446246380646401,2017-11-11 20:30:28,R000577,Tim J. Ryan,D,OH,RT @SallyQYates: POTUS embraces Putin yet again telling world he believes former KGB agent’s denial of attack on our election over o…,13491312,-1.0
27729,930446252768219136,2017-11-14 14:44:08,M001195,Alex Mooney,R,WV,I share the commitment of @POTUS to getting tax cuts passed as soon as possible to grow the American economy. https://t.co/UN2rgA1phU,2964526557,1.0
12157,940947300775550976,2017-12-13 14:11:33,N000002,Jerrold L. Nadler,D,NY,"As the acting Ranking Member of @HouseJudDems, I fully support this letter to @RepGoodlatte of @HouseJudiciary calling for hearings to investigate the serious allegations of sexual harassment and misconduct against @realDonaldTrump. https://t.co/xwVbRqmO4r",40302336,-1.0
29646,958520543027826688,2018-01-31 02:01:20,S001189,Austin Scott,R,GA,"RT @WhiteHouse: Across the country, companies are using President Trump’s tax cuts to invest in American workers with bonuses, higher wages…",234797704,2.0
4688,841710842483757061,2017-03-14 18:01:17,E000288,Keith Maurice Ellison,D,MN,"On @realDonaldTrump's cuts to State Department budget by 30%: ""consigning us to a generational war,” General Allen. https://t.co/hvcOLRImfv",14135426,-1.0
15085,824384112781905922,2017-01-25 22:31:03,O000168,Pete Olson,R,TX,Look forward to working w/ @potus to strengthen our #Border &amp; end #SanctuaryCities. My stmt here --&gt; https://t.co/zvAxd7jjOy,20053279,1.0
9636,901249983915143169,2017-08-26 01:08:35,L000582,Ted Lieu,D,CA,"Incredible. While the nation focuses on #HurricaineHarvey, @realDonaldTrump pardoned #JoeArpaio &amp; issues guidance for #TransMilitaryBan. https://t.co/bzLN7dNQ5A",3044993235,-1.0
20594,858337581561466885,2017-04-29 15:10:01,C000141,Benjamin L. Cardin,D,MD,"After election @POTUS vowed to work w/ both parties to expand #healthcare, improve infrastructure &amp; pass a jobs bill. So far? 0/3 #100days",109071031,-1.0
8094,880430145839955968,2017-06-29 14:17:59,W000437,Roger F. Wicker,R,MS,.@realDonaldTrump and @VP are working with @SenateGOP to make #Healthcare better for all Americans. https://t.co/J45cWeSuXV,264219447,2.0
6018,857217905280331782,2017-04-26 13:00:49,J000288,Henry C. Johnson,D,GA,"RT @BobbyScott: It's almost the end of the #100Days, and @realDonaldTrump still doesn't understand why kicking 24 million off health care i…",24745957,-1.0
7857,875775474907185152,2017-06-16 18:01:58,M000312,James P. McGovern,D,MA,".@realDonaldTrump: Your #Cuba reversal does NOTHING to help Cuban people, it will only hurt America &amp; Americans: https://t.co/6P8fOhMQty",242426145,-2.0
2238,822138830115536898,2017-01-19 17:49:06,L000583,Barry Loudermilk,R,GA,"We’re less than 24 hours away from the swearing-in of our new Commander-in-Chief, @realDonaldTrump! #MAGA https://t.co/2h9kZnk3Ec",2914163523,1.0
22955,879023547892604929,2017-06-25 17:08:39,S001150,Adam B. Schiff,D,CA,"Candidate Trump openly egged on the Russians and celebrated every release of hacked docs, and now as @POTUS, criticizes Obama's response?",29501253,-1.0
12864,951186886546075648,2018-01-10 20:20:00,P000607,Mark Pocan,D,WI,".@realDonaldTrump just terminated legal protections for nearly 200,000 Salvadoran immigrants who have long called America home. Upending their lives means threatening the future of 190,000+ U.S. citizen children. #SaveTPS",1206227149,-2.0
18596,842865150839406592,2017-03-17 22:28:06,R000570,Paul D. Ryan,R,WI,"RT @WaysandMeansGOP: ""Action on #Obamacare is an urgent necessity."" -@POTUS https://t.co/VTR7GIUj5z",18916432,1.0
30430,963114649016262656,2018-02-12 18:16:40,B001230,Tammy Baldwin,D,WI,@SenJohnMcCain @POTUS Washington needs to act on skyrocketing prescription drug prices and I have offered a bipartisan solution with @SenJohnMcCain to hold the pharmaceutical industry accountable. @POTUS should step up and support our FAIR Drug Pricing Act.,1074518754,0.0
13608,958001912397385728,2018-01-29 15:40:29,A000370,Alma Adams,D,NC,RT @RepRobinKelly: Russia attacked our #2016Election to help @realDonaldTrump become President. Why is the Trump Administration hiding doc…,2916086925,-2.0
18280,841311315650052096,2017-03-13 15:33:43,B001289,Bradley Byrne,R,AL,.@POTUS is meeting right now with Americans who have been hit hard by #Obamacare. Their stories are why we must #RepealAndReplace. https://t.co/tgCB8He7jm,2253968388,1.0
20737,859443228319285251,2017-05-02 16:23:27,F000455,Marcia L. Fudge,D,OH,"ICYMI, the @POTUS called for a government shut down, affecting more than 2M govt employees alone. #staywoke https://t.co/CQbdTo6nyr",153486399,-1.0
7088,866731699685789699,2017-05-22 19:05:14,M001143,Betty Louise McCollum,D,MN,"While other countries are tackling climate change, @realDonaldTrump is turning US into an environmental rogue state. https://t.co/FjESaFZkEl",516880804,-1.0
9762,903314202592501760,2017-08-31 17:51:03,P000197,Nancy Pelosi,D,CA,"RT @RepJohnConyers: I won’t stand by while @realDonaldTrump threatens to deport thousands of children &amp; students. #DREAMers, I am on your s…",15764644,-2.0
23723,888518591871635456,2017-07-21 21:58:34,U000039,Tom S. Udall,D,NM,"@POTUS I don't believe @POTUS has the legal authority to rescind #NM #MonumentsForAll and if he tries, I will fight him every step of the way.",60828944,-2.0
19377,848629605808394242,2017-04-02 20:13:59,S000522,Christopher H. Smith,R,NJ,"Today is #WorldAutismAwarenessDay. Join @WhiteHouse, my office and millions around the world and #lightitupblue",1289319271,1.0
17436,836772273902211073,2017-03-01 02:57:11,C001048,John Abney Culberson,R,TX,"""Our veterans have delivered for this Nation –- and now we must deliver for them."" @POTUS #Jointsession",24183358,1.0
12430,943889607011258369,2017-12-21 17:03:13,M001183,Joe Manchin,D,WV,I'm pleased @realDonaldTrump has issued an executive order to identify new sources of critical minerals - or rare earth elements - in the US. MORE: https://t.co/1cSZJZGD4o,234374703,1.0
4136,836762314418311168,2017-03-01 02:17:36,P000197,Nancy Pelosi,D,CA,"A false statement doesn’t become true the more you say it, @realDonaldTrump. #JointSession https://t.co/aSZhzJOWsi",15764644,-2.0
4285,837025244330217472,2017-03-01 19:42:24,R000592,Todd Rokita,R,IN,"With @realDonaldTrump in the White House, we have a true ally in empowering parents and local communities. https://t.co/mm8RmVH8yH",17544524,2.0
10481,917407266126663680,2017-10-09 15:11:51,D000614,Sean P. Duffy,R,WI,RT @RepSeanDuffy: .@POTUS @realDonaldTrump's agenda is moving the nation in the right direction! #MAGA https://t.co/UAZdeYTAFs,234022257,2.0
21498,865676098956390400,2017-05-19 21:10:40,M000312,James P. McGovern,D,MA,@WhiteHouse #BREAKING Investigators now probing whether @WhiteHouse is guilty of cover-up in #TrumpRussia probe. https://t.co/ZWggc8CC4H,242426145,-2.0
7706,873247895801262080,2017-06-09 18:38:17,F000457,Alan Stuart Franken,D,MN,"In a dangerous move, @HouseGOP—at the behest of President Donald Trump—voted to rip apart the landmark Wall Street reform law Dodd-Frank.",171968009,-2.0
4246,836810906759741440,2017-03-01 05:30:42,D000618,Steve Daines,R,MT,Proud to stand with @AGTimFox @realDonaldTrump &amp; the men and women who serve in law enforcement https://t.co/c4soUdvqrJ,11651202,2.0
28962,950537895152103425,2018-01-09 01:21:09,F000449,Jeff Lane Fortenberry,R,NE,"President Trump recently spoke at the American Farm Bureau Federation’s 99th Annual Convention, outlining strategies to facilitate rural prosperity through agricultural initiatives. @POTUS",18805303,1.0
26317,916008128654614528,2017-10-05 18:32:11,U000039,Tom S. Udall,D,NM,@SenateCommerce @POTUS .@POTUS' 1st Amdt attacks are unprecedented—@SenatorHassan &amp; I seeking a real hearing abt these assaults on 1st Amdt https://t.co/em3EJQjPZ7,60828944,-2.0
17059,836683783839576065,2017-02-28 21:05:33,R000570,Paul D. Ryan,R,WI,"Anytime a new @POTUS speaks in the House chamber, it is a tribute to our democracy. https://t.co/CS3o1zxU0X #JointSession",18916432,1.0
1602,811326014693449728,2016-12-20 21:42:50,A000370,Alma Adams,D,NC,RT @edworkforcedems: Congressional Democrats sent a letter to President-elect @realDonaldTrump urging him to implement the #OTrule. https:/…,2916086925,0.0
2951,826132629623828482,2017-01-30 18:19:02,S001198,Dan Sullivan,R,AK,"As Pres @realDonaldTrump said, overregulation has been problem over many years, administrations, without thought given to effect on US jobs. https://t.co/D6kAF2MrKG",2891210047,1.0
5338,849605320477462530,2017-04-05 12:51:07,M001143,Betty Louise McCollum,D,MN,RT @RepAnnaEshoo: It’s about time that @realDonaldTrump’s taxes saw the light of day. I #DemandAVote to release his returns! https://t.co/J…,516880804,-2.0
21756,867438979527962628,2017-05-24 17:55:43,P000096,Bill J. Pascrell,D,NJ,"Healthcare costs will spike for 12,800 people in my district if @POTUS doesn't make CSR payments. Unacceptable. https://t.co/JOB2y2woeU",74508260,-2.0
2491,823574560226349057,2017-01-23 16:54:11,K000385,Robin Kelly,D,IL,"Trying to buy a house? With a stroke of his pen, @realDonaldTrump just made it a LOT more expensive. https://t.co/LzwOgdB1GI",1339931490,-2.0
3415,829797256861798401,2017-02-09 21:00:57,N000002,Jerrold L. Nadler,D,NY,"I just introduced a Resolution of Inquiry, forcing @HouseGOP to FINALLY vote on @realDonaldTrump conflicts, ethics violations + Russia ties. https://t.co/yotrntgG2b",40302336,-2.0
20545,858027525758492673,2017-04-28 18:37:58,J000288,Henry C. Johnson,D,GA,RT @HomelandDems: HOMELAND INSECURITY: We breakdown @POTUS first 100 days in office #Trump100Days Infographic ------&gt; https://t.co/oZRUCRIp…,24745957,-1.0
20798,859830578455224321,2017-05-03 18:02:39,D000399,Lloyd A. Doggett,D,TX,Don’t be fooled by this @POTUS #brokenpromise. #TrumpCare 2.0 still fails to protect individuals w/ pre-existing conditions. #ProtectOurCare,153944899,-2.0
18062,839191636433317889,2017-03-07 19:10:52,B001292,Donald Beyer,D,VA,"My statement on the House GOP bill unveiled last night, which breaks all of POTUS' promises on health care to give a tax cut to the wealthy: https://t.co/rbDhnoePkS",2962868158,-2.0
5951,856886395767582720,2017-04-25 15:03:31,P000197,Nancy Pelosi,D,CA,".@realDonaldTrump infrastructure ""plans"" ended when he tried slashing Transportation Dept’s budget. #Trump100Days https://t.co/h7RfTFqwEc",15764644,-1.0
12151,940728925797437442,2017-12-12 23:43:48,S001193,Eric Swalwell,D,CA,"RT @TheBeatWithAri: ""Bob Mueller... is braver on his weakest day than Donald Trump or anyone on his team, on their best"" - @RepSwalwell…",942156122,-2.0
23089,880495951026237441,2017-06-29 18:39:28,J000126,Eddie Bernice Johnson,D,TX,"RT @SenSchumer: I have a challenge for @POTUS. It's simple: let's move forward on #healthcare in an open, bipartisan way. https://t.co/AhRH…",168502762,-1.0
23168,880891163242352640,2017-06-30 20:49:54,F000457,Alan Stuart Franken,D,MN,@POTUS Bc let's be clear: @POTUS is trying to use taxpayer-funded commission to​ shift attention away from Russian interference in our democracy.,171968009,-2.0
6168,857655059399790592,2017-04-27 17:57:55,S001168,John P. Sarbanes,D,MD,.@realDonaldTrump How @realDonaldTrump failed to #DrainTheSwamp (29/100): https://t.co/hwHtJbWD0t #Trump100Days,364415553,-1.0
17431,836772156453302277,2017-03-01 02:56:43,W000815,Brad R. Wenstrup,R,OH,"For the past 8 years, our military has grown weaker while threats grow stronger. Pleased @POTUS is committed to reversing those trends",518644221,1.0
3154,827197290695757824,2017-02-02 16:49:37,V000128,Chris Van Hollen,D,MD,"The chaos created by Donald Trump's dangerous executive order continues, &amp; kids w/ cancer are some of its victims. https://t.co/W0Hy6pcSyi",18137749,-2.0
10565,918186397168799746,2017-10-11 18:47:50,G000551,Raúl M. Grijalva,D,AZ,.@realDonaldTrump: 'Disgusting' press able to write whatever it wants ..um.. it's called the First Amendment. https://t.co/C0z4t1zevQ,28602948,-2.0
17534,836777841148760064,2017-03-01 03:19:18,R000591,Martha Roby,R,AL,Tonight @POTUS laid out several ways his administration &amp; Congress can work together to rebuild our nation. https://t.co/HeubGPi2ao,224294785,1.0
1387,807239699635064832,2016-12-09 15:05:16,P000607,Mark Pocan,D,WI,.@realDonaldTrump Does this mean @MartinShkreli @ParisHilton are under consideration for your cabinet as well? https://t.co/SBNquuSVCI,1206227149,-1.0
3181,827280885162446848,2017-02-02 22:21:47,C000266,Steve J. Chabot,R,OH,"For #ThrowbackThursday, a photo with Donald Trump in DC, two weeks before the Republican Convention last summer #TBT @realDonaldTrump https://t.co/gsUtmj0Md1",237750442,0.0
3509,831268103388594180,2017-02-13 22:25:34,W000817,Elizabeth Warren,D,MA,.@realDonaldTrump said he’d be tough on Wall Street. That’s a broken promise. #TrumpsBrokenPromises https://t.co/F0E4KUcaF4,970207298,-2.0
23680,888101997332885504,2017-07-20 18:23:10,K000385,Robin Kelly,D,IL,Today marks 6 months since @POTUS’ inauguration. Since then he’s had 40 golf days and 0 #jobs bills.,1339931490,-2.0
1062,799382990954622978,2016-11-17 22:45:31,W000817,Elizabeth Warren,D,MA,".@realDonaldTrump isn’t “draining the swamp.” He’s inviting the biggest, ugliest swamp monsters in the front door.",970207298,-2.0
4912,843936395618127872,2017-03-20 21:24:50,C001067,Yvette D. Clarke,D,NY,"FYI: Denying @MedicaidGov to families doesn't improve their choices, @SpeakerRyan @HouseGOP @realDonaldTrump. https://t.co/0EbJmPYt3t @slate",240812994,-1.0
5058,845299372984291330,2017-03-24 15:40:50,J000032,Sheila Jackson Lee,D,TX,"If @realDonaldTrump ""loves"" veterans as he claims, why does #TrumpCare compromise healthcare for our vets? https://t.co/X4ne008Vyd",80612021,-1.0
21583,866794685997744129,2017-05-22 23:15:32,B001296,Brendan Boyle,D,PA,I'll always fight to protect impt loan forgiveness programs &amp; public school funding @POTUS is proposing to slash https://t.co/ZYVFTveW2o,4304448314,-1.0
4278,836991872904146947,2017-03-01 17:29:47,C001067,Yvette D. Clarke,D,NY,"Depriving millions of Americans of their health care isn't a ""miracle"" @realDonaldTrump. #ACA #BrooklynResists https://t.co/1OkDyMmHs3",240812994,-1.0
29149,952222414443773952,2018-01-13 16:54:49,L000562,Stephen F. Lynch,D,MA,"After @POTUS disgraceful comments on Thursday, @RepCummings and I renewed our call for an investigation into the Trump administration's efforts to suppress and doctor a recent report highlighting the positive economic contributions of refugees. https://t.co/dRX2KmMwOZ",310310133,-2.0
2331,822489281541369856,2017-01-20 17:01:40,N000189,Dan Newhouse,R,WA,RT @AP: BREAKING: Donald Trump takes oath of office as the 45th president of the United States. https://t.co/amKzcKCKko,2930635215,0.0
18551,842763952081813504,2017-03-17 15:45:58,M001156,Patrick T. McHenry,R,NC,Productive meeting w/ POTUS in the Oval Office this morning. We appreciate his support of the plan to #RepealAndReplace Obamacare. #AHCA https://t.co/L8rvyYBMKS,27676828,1.0
7990,877982022505050114,2017-06-22 20:10:00,W000808,Frederica S. Wilson,D,FL,RT @OfficialCBC: The CBC voted today to decline this @WhiteHouse invitation for a follow-up meeting w/ @realDonaldTrump. Here's why:…,234014087,-1.0
16263,830075189480321024,2017-02-10 15:25:21,C001067,Yvette D. Clarke,D,NY,"What's next, @KellyannePolls? A drive-thru window @WhiteHouse? https://t.co/WdQezzWOrB",240812994,-1.0
8152,880556385460682752,2017-06-29 22:39:36,W000797,Debbie Wasserman Schultz,D,FL,"We stand together, and will not be bullied by @realDonaldTrump's abhorrent sexism. He brings shame on himself, his allies and his office. https://t.co/L4OSt327ho",1140648348,-2.0
16461,831916634516418560,2017-02-15 17:22:36,N000002,Jerrold L. Nadler,D,NY,Unconscionable @WhiteHouse would give an anti-Semitic outlet like @BreitbartNews a front row seat. Steve Bannon must really be in charge. https://t.co/ejD873vWeM,40302336,-2.0
6141,857652966572134400,2017-04-27 17:49:36,S001168,John P. Sarbanes,D,MD,.@realDonaldTrump How @realDonaldTrump failed to #DrainTheSwamp (2/100): https://t.co/9aY06oRta0 #Trump100Days,364415553,-1.0
21167,864199036093562885,2017-05-15 19:21:20,R000576,C. A. Dutch Ruppersberger,D,MD,Enjoyed delivering @mealsonwheelsmd in #MD02 + reminding @POTUS defense spending alone won’t make Americans secure https://t.co/k5jNJL1sqm https://t.co/4vHpdIvuif,305620929,-1.0
13861,958528654488866817,2018-01-31 02:33:34,W000437,Roger F. Wicker,R,MS,RT @SenateGOP: Live: President @realDonaldTrump delivers his first State of the Union address to Congress. #SOTU https://t.co/FknaExbeh0,264219447,0.0
1163,803340440485429248,2016-11-28 20:51:01,R000601,John Ratcliffe,R,TX,I'm looking forward to working with @realDonaldTrump to advance legislation like the PLUS Act to protect our police: https://t.co/Z7WREBOh6j,2847221717,1.0
15110,824459654466002945,2017-01-26 03:31:14,S001193,Eric Swalwell,D,CA,"When my really conservative friends start texting me that @potus has lost his mind, it's time to #resist for sake of our great democracy 🇺🇸",942156122,-2.0
12575,948417889152925696,2018-01-03 04:57:00,R000577,Tim J. Ryan,D,OH,"When we think of the Cuban Missile Crisis, we tend to think of President Kennedy’s deliberative &amp; steady hand. The man currently sitting in the Oval Office is no JFK. Republicans need to stand up for the security of our global community. @realDonaldTrump is reckless beyond words. https://t.co/Ejn8HDka36",13491312,-2.0
1940,819221446572539904,2017-01-11 16:36:27,C001097,Tony Cárdenas,D,CA,1/2 @realDonaldTrump justifying Russian hacking is inexcusable.,1222257180,-1.0
29502,958387552574164992,2018-01-30 17:12:53,C001066,Kathy Castor,D,FL,"Urge @POTUS &amp; Republicans in Congress to act on hurricane emergency, rebuilding aid! Why has help been stalled? #FL #PuertoRico 👉 #Tampa Humanitarian To Attend #SOTU https://t.co/lTldyZ0uQF",1880674038,-1.0
9621,901231304192274434,2017-08-25 23:54:21,M001176,Jeff Merkley,D,OR,".@realDonaldTrump—This is a disgraceful, bigoted attack on transgender Americans honorably serving our nation. https://t.co/vT2WmakGwR",29201047,-2.0
4175,836769382592303104,2017-03-01 02:45:41,P000197,Nancy Pelosi,D,CA,.@realDonaldTrump’s idea of an economic mess is one of the largest job creation streaks in decades! #JointSession https://t.co/nAKXfXqZIW,15764644,-1.0
22629,876921946960793600,2017-06-19 21:57:39,E000294,Tom Emmer,R,MN,"That’s why I look forward to working with @POTUS to ensure that government gets out of the way, so our miners can get back to work!",2914515430,1.0
10889,921114972817690624,2017-10-19 20:44:57,M000312,James P. McGovern,D,MA,A powerful message from George W. Bush rejecting bigotry emboldened by @realDonaldTrump. America's better than this. https://t.co/jznUzjCuP9,242426145,-2.0
28514,943210027422281728,2017-12-19 20:02:49,C001098,Ted Cruz,R,TX,.@POTUS’s National Security Strategy represents a course correction in our American priorities that has been direly needed. -&gt; https://t.co/LoEFTAKfoK,1074480192,2.0
14988,824234186525450240,2017-01-25 12:35:18,R000570,Paul D. Ryan,R,WI,"I had a very productive discussion with @POTUS &amp; @VP on health care, tax reform, rebuilding our military, and securing our border. https://t.co/EcJygFDJH5",18916432,1.0
12486,944576837988110336,2017-12-23 14:34:02,W000779,Ron Wyden,D,OR,"If we follow-the-money with @realDonaldTrump and the Russia investigation, we’ll be able to connect the dots.",250188760,-2.0
3137,827137711773454336,2017-02-02 12:52:52,E000288,Keith Maurice Ellison,D,MN,"In addition to Muslim ban, @realDonaldTrump proposed to close mosques, set up database to track Muslims, deport 11M undocumented. Get ready",14135426,-2.0
3794,834009850581512192,2017-02-21 12:00:18,N000002,Jerrold L. Nadler,D,NY,"Joining @CNN @NewDay to discuss my #ResolutionofInquiry, @realDonaldTrump attacks on press + judiciary, &amp; refusal to condemn antisemitism.",40302336,-2.0
4542,839513937192304641,2017-03-08 16:31:34,C001067,Yvette D. Clarke,D,NY,"I'm against the sham @HouseGOP &amp; @realDonaldTrump health care ""plan."" We have a responsibility to Americans. https://t.co/1VESptxAck",240812994,-2.0
